г. Санкт-Петербург, ул. Бухарестская, д. 39, к. 1, лит. А	1968
г. Санкт-Петербург, ул. Бухарестская, д. 41, к. 1, лит. А	1965
г. Санкт-Петербург, ул. Бухарестская, д. 66, к. 1, лит. А	1984
г. Санкт-Петербург, ул. Бухарестская, д. 66, к. 2, лит. А	1968
г. Санкт-Петербург, ул. Бухарестская, д. 66, к. 3, лит. А	1968
г. Санкт-Петербург, ул. Бухарестская, д. 67, к. 1, лит. А	1973
г. Санкт-Петербург, ул. Бухарестская, д. 67, к. 3, лит. А	1972
г. Санкт-Петербург, ул. Бухарестская, д. 67, к. 4, лит. А	1972
г. Санкт-Петербург, ул. Бухарестская, д. 68, к. 2, лит. А	1968
г. Санкт-Петербург, ул. Бухарестская, д. 72, к. 2, лит. А	1968
г. Санкт-Петербург, ул. Бухарестская, д. 78, лит. А	1969
г. Санкт-Петербург, ул. Бухарестская, д. 84, лит. А	1966
г. Санкт-Петербург, ул. Бухарестская, д. 86, к. 1, лит. А	1967
г. Санкт-Петербург, ул. Бухарестская, д. 86, к. 2, лит. А	1966
г. Санкт-Петербург, ул. Бухарестская, д. 86, к. 3, лит. А	1966
г. Санкт-Петербург, ул. Бухарестская, д. 88, лит. А	1967
г. Санкт-Петербург, ул. Бухарестская, д. 92, лит. А	1966
г. Санкт-Петербург, ул. Бухарестская, д. 94, к. 1, лит. А	1966
г. Санкт-Петербург, ул. Бухарестская, д. 94, к. 3, лит. А	1966
г. Санкт-Петербург, ул. Бухарестская, д. 94, к. 4, лит. А	1968
г. Санкт-Петербург, ул. Бухарестская, д. 116, к. 1, лит. А	1984
г. Санкт-Петербург, ул. Бухарестская, д. 120, лит. А	1984
г. Санкт-Петербург, ул. Бухарестская, д. 122, лит. А	1983
г. Санкт-Петербург, ул. Бухарестская, д. 128, к. 1, лит. А	1982
г. Санкт-Петербург, ул. Димитрова, д. 26, лит. А	1993
г. Санкт-Петербург, ул. Димитрова, д. 29, лит. А	1980
г. Санкт-Петербург, пр-кт. Дунайский, д. 48, к. 1, лит. А	1977
г. Санкт-Петербург, пр-кт. Дунайский, д. 49/126, лит. А	1989
г. Санкт-Петербург, пр-кт. Дунайский, д. 53, к. 2, лит. А	1982
г. Санкт-Петербург, пр-кт. Дунайский, д. 58, к. 1, лит. А	1982
г. Санкт-Петербург, б-р. Загребский, д. 17, к. 3, лит. А	1977
г. Санкт-Петербург, б-р. Загребский, д. 19, к. 1, лит. А	1981
г. Санкт-Петербург, б-р. Загребский, д. 21, лит. А	1979
